Freq.	V(n002)
Step Information: X=20  (Step: 1/3)
9.38219184757010e+03	(-4.83451271006344e+01dB,7.71139112857441e+01°)
9.41476445813277e+03	(-4.81806293767232e+01dB,7.69535289624355e+01°)
9.44745015260761e+03	(-4.80131380032859e+01dB,7.67864350901303e+01°)
9.48024932359353e+03	(-4.78425417698310e+01dB,7.66122403995897e+01°)
9.51316236505243e+03	(-4.76687234477789e+01dB,7.64305249949335e+01°)
9.54618967231396e+03	(-4.74915593691519e+01dB,7.62408353163867e+01°)
9.57933164208025e+03	(-4.73109189702691e+01dB,7.60426807387352e+01°)
9.61258867243067e+03	(-4.71266642972940e+01dB,7.58355297541676e+01°)
9.64596116282665e+03	(-4.69386494702283e+01dB,7.56188056798980e+01°)
9.67944951411641e+03	(-4.67467201016877e+01dB,7.53918818211351e+01°)
9.71305412853985e+03	(-4.65507126665377e+01dB,7.51540760083574e+01°)
9.74677540973333e+03	(-4.63504538182349e+01dB,7.49046444140136e+01°)
9.78061376273453e+03	(-4.61457596475204e+01dB,7.46427745372744e+01°)
9.81456959398733e+03	(-4.59364348789693e+01dB,7.43675772258315e+01°)
9.84864331134666e+03	(-4.57222720008667e+01dB,7.40780775800907e+01°)
9.88283532408346e+03	(-4.55030503239877e+01dB,7.37732045568187e+01°)
9.91714604288951e+03	(-4.52785349651959e+01dB,7.34517790551497e+01°)
9.95157587988243e+03	(-4.50484757524308e+01dB,7.31125002266388e+01°)
9.98612524861062e+03	(-4.48126060487814e+01dB,7.27539297011447e+01°)
1.00207945640582e+04	(-4.45706414951293e+01dB,7.23744733597185e+01°)
1.00555842426500e+04	(-4.43222786735715e+01dB,7.19723602119873e+01°)
1.00904947022566e+04	(-4.40671936978839e+01dB,7.15456178456254e+01°)
1.01255263621993e+04	(-4.38050407431939e+01dB,7.10920438057613e+01°)
1.01606796432552e+04	(-4.35354505355583e+01dB,7.06091721279240e+01°)
1.01959549676622e+04	(-4.32580288343315e+01dB,7.00942340838384e+01°)
1.02313527591241e+04	(-4.29723549575650e+01dB,6.95441119982470e+01°)
1.02668734428158e+04	(-4.26779804252766e+01dB,6.89552847490524e+01°)
1.03025174453882e+04	(-4.23744278302515e+01dB,6.83237632631659e+01°)
1.03382851949733e+04	(-4.20611900952729e+01dB,6.76450139563131e+01°)
1.03741771211898e+04	(-4.17377303452902e+01dB,6.69138676264429e+01°)
1.04101936551476e+04	(-4.14034827214994e+01dB,6.61244107883026e+01°)
1.04463352294535e+04	(-4.10578546036622e+01dB,6.52698558274755e+01°)
1.04826022782161e+04	(-4.07002309043285e+01dB,6.43423856631959e+01°)
1.05189952370512e+04	(-4.03299813781155e+01dB,6.33329678715456e+01°)
1.05555145430869e+04	(-3.99464722847457e+01dB,6.22311325099416e+01°)
1.05921606349689e+04	(-3.95490843031242e+01dB,6.10247073580691e+01°)
1.06289339528658e+04	(-3.91372393789739e+01dB,5.96995042550832e+01°)
1.06658349384743e+04	(-3.87104402833481e+01dB,5.82389512316646e+01°)
1.07028640350245e+04	(-3.82683281644792e+01dB,5.66236682145873e+01°)
